source_id	source_name	human_classification	canonical_taxid	canonical_taxon_name	lookup_name
73fa56df-5f94-e511-814c-000c2902c387	Parechovirus ahumpari	RG2	3431395	Parechovirus ahumpari	Human parechovirus 1-18
73fa56df-5f94-e511-814c-000c2902c387	Parechovirus ahumpari	RG2	3431395	Parechovirus ahumpari	Parechovirus ahumpari
74873203-6094-e511-814c-000c2902c387	Alphavirus mucambo	RG3	3426309	Alphavirus mucambo	Alphavirus mucambo
75ab899d-5f94-e511-814c-000c2902c387	Amdoparvovirus carnivoran1	RG1	3051624	Amdoparvovirus carnivoran1	Aleutian mink disease virus
75ab899d-5f94-e511-814c-000c2902c387	Amdoparvovirus carnivoran1	RG1	3051624	Amdoparvovirus carnivoran1	Carnivore amdoparvovirus 1
769e60cd-5f94-e511-814c-000c2902c387	Orthohepadnavirus sciuri	RG1	3431463	Orthohepadnavirus sciuri	Orthohepadnavirus sciuri
771f5fd9-5f94-e511-814c-000c2902c387	Deltapolyomavirus septihominis	RG2	2955745	Deltapolyomavirus septihominis	Human polyomavirus 7
776c1fa0-90fe-e611-8103-0050568253d3	Orthopoxvirus raccoonpox	RG2	3431484	Orthopoxvirus raccoonpox	Orthopoxvirus raccoonpox
777c181b-6094-e511-814c-000c2902c387	Roseolovirus suidbeta2	RG1	3050356	Roseolovirus suidbeta2	Porcine cytomegalovirus
777c181b-6094-e511-814c-000c2902c387	Roseolovirus suidbeta2	RG1	3050356	Roseolovirus suidbeta2	Suid betaherpesvirus 2
77b734fd-5f94-e511-814c-000c2902c387	Orthorubulavirus mapueraense	RG3	3052559	Orthorubulavirus mapueraense	Mapuera orthorubulavirus
77b734fd-5f94-e511-814c-000c2902c387	Orthorubulavirus mapueraense	RG3	3052559	Orthorubulavirus mapueraense	Mapuera rubulavirus
77b734fd-5f94-e511-814c-000c2902c387	Orthorubulavirus mapueraense	RG3	3052559	Orthorubulavirus mapueraense	Mapuera virus
785cf33e-6094-e511-814c-000c2902c387	Orthoflavivirus ugandaense	RG2	3048440	Orthoflavivirus ugandaense	Uganda S Virus
